"Article Type (BigFake, SmallFake, FakeFake, True)",Article Text,Short Text,Article True/False,Pro-Clinton or pro-Trump?,Source,Snopes shares,topicid,Fact check link,Coverage link 1,Coverage link 2,Notes,Alternative Text
,,,,,,,,,,,,
BigFake,Pope Francis endorsed Donald Trump.,Pope endorsed Trump,FALSE,Trump,"NYT, WSJ",,http://www.snopes.com/pope-francis-donald-trump-endorsement/,http://www.nytimes.com/2016/11/14/technology/facebook-is-said-to-question-its-influence-in-election.html,http://www.nytimes.com/2016/11/14/technology/facebook-is-said-to-question-its-influence-in-election.html,http://www.wsj.com/articles/social-media-companies-forced-to-confront-misinformation-and-harassment-1479218402,,
BigFake,An FBI agent connected to Hillary Clintonês email disclosures murdered his wife and shot himself.,FBI agent suicide,FALSE,Trump,NYT,,http://www.snopes.com/fbi-agent-murder-suicide/ ,http://www.nytimes.com/2016/11/14/technology/facebook-is-said-to-question-its-influence-in-election.html,http://www.nytimes.com/2016/11/14/technology/facebook-is-said-to-question-its-influence-in-election.html,http://www.nytimes.com/2016/11/09/us/politics/debunk-fake-news-election-day.html,,An FBI agent suspected in Hillary Clinton email leaks was found dead in an apparent murder-suicide.
BigFake,The Clinton Foundation bought $137 million in illegal arms.,Clinton bought illegal arms,FALSE,Trump,WSJ,,http://www.snopes.com/hillary-clinton-bought-137-million-worth-of-illegal-arms/,http://www.snopes.com/hillary-clinton-bought-137-million-worth-of-illegal-arms/,http://www.wsj.com/articles/social-media-companies-forced-to-confront-misinformation-and-harassment-1479218402,,,
BigFake,"Mike Pence said that ""Michelle Obama is the most vulgar First Lady we've ever had.""",Pence called Michelle vulgar,FALSE,Clinton,Buzzfeed,,http://www.snopes.com/mike-pence-calls-michelle-obama-vulgar/ ,http://www.snopes.com/mike-pence-calls-michelle-obama-vulgar/,https://www.buzzfeed.com/craigsilverman/viral-fake-election-news-outperformed-real-news-on-facebook?utm_term=.sh3vzMnQO#.em0arMvG8,http://www.usanewsflash.com/pence-michelle-obama-vulgar-first-lady-weve-ever/,,
BigFake,"In May 2016, Ireland announced that it was officially accepting Americans requesting political asylum from a Donald Trump presidency.",Ireland offered political asylum,FALSE,Clinton,Buzzfeed,,BuzzFeed21,http://www.thejournal.ie/ireland-officially-accepting-trump-refugees-inishturk-facts-3074777-Nov2016/,https://www.buzzfeed.com/craigsilverman/viral-fake-election-news-outperformed-real-news-on-facebook?utm_term=.sh3vzMnQO#.em0arMvG8,http://winningdemocrats.com/ireland-is-now-officially-accepting-trump-refugees-from-america/,"A related story is apparently true, so have to be clear on the wording: http://www.irishcentral.com/news/politics/remote-irish-island-seeks-americans-fleeing-donald-trump-presidency",
BigFake,Celebrity RuPaul said that Donald Trump mistook him for a woman and groped him at a party in 1995.,Trump groped Ru-Paul,FALSE,Clinton,Buzzfeed,,http://www.snopes.com/rupaul-claims-trump-touched-him/ ,http://www.snopes.com/rupaul-claims-trump-touched-him/,https://www.buzzfeed.com/craigsilverman/viral-fake-election-news-outperformed-real-news-on-facebook?utm_term=.sh3vzMnQO#.em0arMvG8,,,
,,,,,,,,,,,,
SmallFake,"At the beginning of November, the FBI uncovered evidence of a pedophile sex ring run under the guise of the Clinton Foundation.",Clinton Foundation pedophilia,FALSE,Trump,Politifact,,http://www.politifact.com/truth-o-meter/statements/2016/nov/04/conservative-daily-post/evidence-ridiculously-thin-sensational-claim-huge-/,http://www.politifact.com/truth-o-meter/statements/2016/nov/04/conservative-daily-post/evidence-ridiculously-thin-sensational-claim-huge-/,http://www.politifact.com/truth-o-meter/elections/2016/president-united-states/,,,
SmallFake,"Under Donald Trump's tax plan, it is projected that 51% of single parents would see their taxes go up.",Trump tax increase,TRUE,Clinton,Politifact,,,http://www.politifact.com/truth-o-meter/statements/2016/nov/06/hillary-clinton/would-51-single-parents-see-taxes-rise-under-donal/,http://www.politifact.com/truth-o-meter/elections/2016/president-united-states/,https://www.factcheck.org/2016/11/trumps-tax-cut-claims/,http://www.taxpolicycenter.org/publications/families-facing-tax-increases-under-trumps-tax-plan-0,
